,hotel,ratings,review,real_date,length
15,그랜드 인터컨티넨탈 서울 파르나스,3,직원분들의 친절도는 조금 떨어지지만 객실은 쾌적했습니다,2022. 04. 06,30
16,그랜드 인터컨티넨탈 서울 파르나스,5,직원분들도 엄청 친절하고 좋았어요! 잘 쉬다 갑니당 :),2022. 04. 04,31
17,그랜드 인터컨티넨탈 서울 파르나스,5,룸컨디션최고였어요코로나로인해서 부대시설은 많이못즐겼지만직원분들도 너무친절하시고서비스도 좋아서만족하고갑니다!!더보기,2022. 04. 04,63
18,그랜드 인터컨티넨탈 서울 파르나스,5,업그레이드도 되고 시설도 좋고 파르나스몰에서 맛집가고 놀기 딱 좋은 위치라 좋더라구요,2022. 04. 03,47
19,그랜드 인터컨티넨탈 서울 파르나스,5,항상 룸 컨디션도 좋고 만족하고갑니다,2022. 04. 03,20
20,그랜드 인터컨티넨탈 서울 파르나스,5,여자친구 생일날 호캉스로 다녀왓는데 아주 푹 잘 쉬다 왔습니다 아주 좋아요 !,2022. 03. 30,43
21,그랜드 인터컨티넨탈 서울 파르나스,5,너무 좋았어요 ㅎㅎ,2022. 03. 28,10
22,그랜드 인터컨티넨탈 서울 파르나스,5,"너무 좋았습니다 룸 컨디션도 너무 좋고 서비스, 시설 등등 5성급이라는 말이 딱 맞는 호텔인거 같습니다!",2022. 03. 28,58
23,그랜드 인터컨티넨탈 서울 파르나스,5,인기가 많아서 여유 객실이 잘 없을 정도로 좋은 곳!망설이지 마세요,2022. 03. 28,37
24,그랜드 인터컨티넨탈 서울 파르나스,3,"한 달에 한두번 정도는 꼭 이용하는데, 이번엔 방에 들어갔더니 침대 이불이 정리도 안 된 채 있었어요. 매니저님께서 사과하고 업그레이드 해주신 점은 감사하지만, 5성급 호텔에는 어울리지 않는 실수였던 거 같아요.",2022. 03. 24,118
25,그랜드 인터컨티넨탈 서울 파르나스,5,깨끗하고 쾌적합니다,2022. 03. 22,10
26,그랜드 인터컨티넨탈 서울 파르나스,5,"엑스트라베드, 가습기, 와인잔 같이 추가 요청사항들도 빠르게 처리해주셔서 정말 만족스러웠습니다. 따뜻한 물 마시려고 네스프레소 머신이 이용했는데 커피 찌꺼기가 자꾸 나온 것만빼고요.",2022. 03. 22,101
27,그랜드 인터컨티넨탈 서울 파르나스,5,여러분 컨티넨탈은 사랑입니다,2022. 03. 21,15
28,그랜드 인터컨티넨탈 서울 파르나스,5,모든게 만족스럽고 침구도 좋고 조식은 정말 최고에요,2022. 03. 20,28
29,그랜드 인터컨티넨탈 서울 파르나스,5,최곱니다 직원분들도 너무 친절하시고 룸도 최고에요,2022. 03. 19,27
30,그랜드 인터컨티넨탈 서울 파르나스,5,너무 아늑햇어요 정말 잘쉬다가요 또 방문할꺼에요,2022. 03. 19,26
31,그랜드 인터컨티넨탈 서울 파르나스,5,생각이상으로 좋앗어요 방도 깔끔하고 아늑해요 또 방문할꺼에요,2022. 03. 17,33
32,그랜드 인터컨티넨탈 서울 파르나스,5,아주좋아요,2022. 03. 15,5
33,그랜드 인터컨티넨탈 서울 파르나스,5,감사합니다,2022. 03. 14,5
34,그랜드 인터컨티넨탈 서울 파르나스,4,강남에 있는 다수 5성급 호텔 중 가장 안정적인 서비스를 기대할 수 있는 호텔,2022. 03. 12,43
35,그랜드 인터컨티넨탈 서울 파르나스,5,파르나스 걍 짱임,2022. 03. 09,9
36,그랜드 인터컨티넨탈 서울 파르나스,5,리모델되어 있는만큼 훌륭합니다.,2022. 03. 07,17
37,그랜드 인터컨티넨탈 서울 파르나스,5,너무 잘쉬고 왔습니다.^^,2022. 03. 07,14
38,그랜드 인터컨티넨탈 서울 파르나스,5,특별한 이벤트날이라 방문했는데 너무 행복한 시간 보냈습니다. 방도 깨끗하고 직원들도 너무 친절해요. 근처에 맛있는거 먹을 곳도 많습니다,2022. 03. 07,75
39,그랜드 인터컨티넨탈 서울 파르나스,5,룸 컨디션 너무 좋았어요. 방도 큰편이고 생일기념 케이크 준비해주신 것도 좋았습니다~~!,2022. 03. 07,49
40,그랜드 인터컨티넨탈 서울 파르나스,5,진짜 넘 힐링되고 좋았어요ㅠㅠ 침대도 푹신했구요!!,2022. 03. 06,28
41,그랜드 인터컨티넨탈 서울 파르나스,5,너무 쾌적하였습니다!,2022. 03. 05,11
42,그랜드 인터컨티넨탈 서울 파르나스,5,최고의 호텔 중 하나입니다.,2022. 03. 04,15
43,그랜드 인터컨티넨탈 서울 파르나스,5,침대 너무 편안하고 직원분들 매우 친절하시고 부탁드린 물품도 바로 챙겨주시고 서비스 정말 만족했습니다!!,2022. 03. 03,58
44,그랜드 인터컨티넨탈 서울 파르나스,5,직원분들 따로 교육을 받으시는건가요? 어쩜 너무 다들 친절하셔서 기분이 좋았습니다 덕분에 잘쉬다 왔습니다 접근성도 최고인거 같아요 코엑스에 현대백화점에 파르나스몰 최고입니다 조말론 어메니티 너무좋아요 청결도 말할것도 없이 깔끔해요👍👍,2022. 03. 02,130
45,그랜드 인터컨티넨탈 서울 파르나스,5,역시나에요,2022. 03. 02,5
46,그랜드 인터컨티넨탈 서울 파르나스,5,"오래간만에 호캉스였는데, 룸컨디션도 좋았고 가족 모두 만족한 호텔이었어요다음에 또 가고 싶네요^^",2022. 03. 01,54
47,그랜드 인터컨티넨탈 서울 파르나스,5,"기분 좋은 1박 하고 왔습니다!! 주차공간 넉넉한건 서울에서 상상하기 힘들정도로 좋았고, 조말론 어메니티 마음에 들었슴다",2022. 03. 01,67
48,그랜드 인터컨티넨탈 서울 파르나스,4,좋았어요ㅎㅎ,2022. 02. 28,6
49,그랜드 인터컨티넨탈 서울 파르나스,4,접근서우좋고 시설도 좋았습니다. 술 먹고 욕실 들어가는 턱만 조심하세요,2022. 02. 28,39
50,그랜드 인터컨티넨탈 서울 파르나스,5,욕조도 있고 좋아요ㅠㅠ침대가 너무 편해요.,2022. 02. 26,23
51,그랜드 인터컨티넨탈 서울 파르나스,5,아주 깔끔했고 어메니티가 조말론이어서 좋았습니다. 코엑스랑 이어져있어서 쇼핑이나 맛집에서 식사하기도 용이해서 너무 즐겁게 지내다 갑니다 !,2022. 02. 26,77
52,그랜드 인터컨티넨탈 서울 파르나스,5,호텔 너무깨끗하고 친절하시고 주차하기도 편해요 🥰,2022. 02. 25,27
53,그랜드 인터컨티넨탈 서울 파르나스,5,잘 묵고 갑니다.,2022. 02. 24,9
54,그랜드 인터컨티넨탈 서울 파르나스,5,직원분들이 너무 친절하셔서 좋았습니다!룸 컨디션도 좋았구요! 다만 화장실에 세면대 쪽 수건 세 개에 짧은 머리카락이 있었어요ㅠ 세 개 다요.. 조금 더 신경 써주시면 감사하겠습니다!!! 이 부분 빼면 너무너무 잘 쉬다 왔습니다!!,2022. 02. 20,128
55,그랜드 인터컨티넨탈 서울 파르나스,5,너무 좋아요,2022. 02. 11,6
56,그랜드 인터컨티넨탈 서울 파르나스,5,ㅁ아주만족스,2022. 02. 10,6
57,그랜드 인터컨티넨탈 서울 파르나스,4,좋았음. 층고가 낮아서 조금 뺌,2022. 02. 09,17
58,그랜드 인터컨티넨탈 서울 파르나스,5,조라요로오오옹요오,2022. 02. 03,9
59,그랜드 인터컨티넨탈 서울 파르나스,4,직원분들도 친절하시고 숙소도 깨끗하고 좋아서 저희가족 넘 편하게 있다 왔어요~  그런데 조식이 좋다는평이 많아서 기대했는데 조식은 별로 였네요,2022. 02. 03,79
60,그랜드 인터컨티넨탈 서울 파르나스,5,좋았습니다,2022. 02. 03,5
61,그랜드 인터컨티넨탈 서울 파르나스,5,야놀자 라이브 통해서 저렴하게 구매 후 잘 쉬다 왔어요! 명불허전 파르나스 항상 만족해요ㅎㅎ,2022. 02. 03,51
62,그랜드 인터컨티넨탈 서울 파르나스,5,"리모델링을 해서 그런지 시설은 너무 깨끗하고 쾌적했어요. 다만, 욕실내 컵이 유리가 아닌 다른 소재(스테인레스 등)였으면 좋겠어요. 아이가 양치를 하는 과정에서 컵에 물기가 닿아 손이 미끄러지고 깨져 손이 살짝 베이는 사고가 있었어요. 그래도 빠른 대응 해주셔서 너무 감사했습니다.  너무 잘 쉬다 왔습니다. 다음에 다시 이용하고 싶어요. 👍🏻",2022. 02. 02,192
63,그랜드 인터컨티넨탈 서울 파르나스,5,늘 최고의 호텔입니다,2022. 02. 02,11
64,그랜드 인터컨티넨탈 서울 파르나스,5,"열심히 놀고 먹고 할 수 있도록 다 되어있네요. 코엑스에서 쇼핑하고 주변에서 마사지 받고, 호텔 컨디션도 아주 좋습니다.",2022. 02. 02,67
65,그랜드 인터컨티넨탈 서울 파르나스,5,너무 맘에 들어용,2022. 02. 02,9
66,그랜드 인터컨티넨탈 서울 파르나스,5,굿굿굿굿ㅅ,2022. 01. 30,5
67,그랜드 인터컨티넨탈 서울 파르나스,5,"객실 너무 넓고 깨끗하고 좋았어요 교통이 좋고 코엑스몰 내 음식점도 좋았어요 편의점도 고퀄떨어진 귀걸이 찾으려 탁상아래봤는데 왠 여자 나시, 쓰던 면봉이 있어서 깜짝놀랐어요  교통편의시설 좋고 이왕이면 업글해서 주니어스위트로 꼭 추천드립니다",2022. 01. 26,134
68,그랜드 인터컨티넨탈 서울 파르나스,5,아주 고급스러웠습니다,2022. 01. 26,11
69,그랜드 인터컨티넨탈 서울 파르나스,5,"그냥 최고라고 말할 수 있습니다.💛💛💛직원분들이 다 너무 친절하셔서 좋았고 인원추가해서 엑스트라베드도 빨리 설치해주시고수건, 어메니티, 슬리퍼, 가운 등 하나하나 다 챙겨주시고물 요청하니까 룸으로 금방 가져다주셨어요!객실도 너무 깨끗하고 정말 조용하고 온도도 적당하고조식도 맛있었어요❤️🥰 다음에 또 방문하고싶어요!더보기",2022. 01. 25,179
70,그랜드 인터컨티넨탈 서울 파르나스,5,조식이 맛있어요 ㅎㅎ,2022. 01. 24,11
71,그랜드 인터컨티넨탈 서울 파르나스,5,잘 다녀왔어요,2022. 01. 23,7
72,그랜드 인터컨티넨탈 서울 파르나스,5,룸서비스가 많이 늦거나 누락될때가잇습니다.,2022. 01. 23,23
73,그랜드 인터컨티넨탈 서울 파르나스,5,룸컨디션 너무 좋았음!,2022. 01. 22,12
74,그랜드 인터컨티넨탈 서울 파르나스,5,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,2022. 01. 19,12
75,그랜드 인터컨티넨탈 서울 파르나스,5,휴식하기 좋았습니다,2022. 01. 18,10
76,그랜드 인터컨티넨탈 서울 파르나스,5,"삼성역 근처고 코엑스랑 연결되있어서 호캉스 하기 좋았습니당.. 근데 냉장고가 성능이 제대로 안나오는것같구 방음이,,,,ㅎ",2022. 01. 17,67
77,그랜드 인터컨티넨탈 서울 파르나스,5,숙소 청결하고 좋습니다. 클럽 이용 시 대부분의 직원분들 친절하시나 안내를 제데로 안해주시는 분이 있어 약간의 마이너스 점수를 줍니다. 뷰가 조금 아쉬운 느낌이 있지만 대체적으로 만족하고 갑니다.,2022. 01. 17,109
78,그랜드 인터컨티넨탈 서울 파르나스,5,깨끗하고 편의성이 너무좋아요,2022. 01. 16,15
79,그랜드 인터컨티넨탈 서울 파르나스,5,언제나 만족도 높은 호텔,2022. 01. 14,13
80,스위스 그랜드 호텔,5,"늦가을 정취가 반짝반짝 빛나고 방으로 스며들었습니다. 맑은 늦가을하늘의 미소가 환하게 보였습니다. 방은 널찍하고 청결했습니다. 인근에 맛집이 자리하고 산책나간 홍제천에서 왜가리, 청둥오리를 만났습니다. 행복한 숙박이었습니다. 명성 그대로였어요!",2020. 11. 22,136
81,스위스 그랜드 호텔,5,넓고 쾌적하고 좋아요,2022. 04. 18,11
82,스위스 그랜드 호텔,5,30시간 스테이 너무 좋아요잘 쉬다 갑니다. 침대가 수면제에요ㅠㅠ,2022. 04. 17,36
83,스위스 그랜드 호텔,2,편의점이 1층에 있는건 좋음,2022. 04. 16,15
84,스위스 그랜드 호텔,5,직원분들도 너무 친절하시고 뷰도 좋고 넘 잘 쉬다가요!!,2022. 04. 11,31
85,스위스 그랜드 호텔,5,최고입니다,2022. 04. 11,5
86,스위스 그랜드 호텔,5,Goood,2022. 04. 10,5
87,스위스 그랜드 호텔,5,깔끔하고 예쁘고 좋았어요,2022. 04. 08,13
88,스위스 그랜드 호텔,5,로비도 크고 안락하고 조용해서 좋았어요. 방도 컸습니다. 조식도 맛있게 먹었어요,2022. 04. 04,44
89,스위스 그랜드 호텔,3,"개인적으로 엄청 기대하고 갔는데 시설에 좀 제한이 많더라구요. 전구도 나가서 바꿔달라고했는데 안바꿔주시고 밥솥, 가위도 없고 세제도 없고..세제랑 퐁퐁이 없어서 문의하니까 설거지 필수 아니니까 두라고 하시는데 결국 저희가 전부 사서 설거지 했어요..그리고 숟가락은 있는데 젓가락은 없는,,,참 아이러니 한 숙소네요. 하지만 침구류도 깨끗하고 크기는 엄청 커서 3점 드립니다:) 개선이 많이 필요할거같아요. 직원분들 응대 역시 마찬가지구요.더보기",2022. 04. 03,248
90,스위스 그랜드 호텔,5,시설은 정말 좋은데 인수에 비해 엄청 크네요!,2022. 03. 26,25
91,스위스 그랜드 호텔,5,편리하고 정말 좋았어요,2022. 03. 24,12
92,스위스 그랜드 호텔,5,평일날 방문 했는데 조용하고 좋아요! 다만 침구류가 깨끗하지 못해서 아쉬웠습니다. 다음에 방문의사 있어요!,2022. 03. 23,59
93,스위스 그랜드 호텔,3,명성보다는 별로인듯,2022. 03. 22,10
94,스위스 그랜드 호텔,5,ㅇㅇㅇㅇㅇ,2022. 03. 21,5
95,스위스 그랜드 호텔,5,"위치,접근성빼고는 모든게 좋았어요! 시설도 예쁘고 만족합니다",2022. 03. 14,33
96,스위스 그랜드 호텔,5,너무 좋았어요 :),2022. 03. 12,10
97,스위스 그랜드 호텔,5,사이즈도크고 생각보다괜찮으나 콜한번부를때마다 돈받네요 이건좀,2022. 03. 07,33
98,스위스 그랜드 호텔,5,오랜만에 잘다녀왔어요~,2022. 03. 06,12
99,스위스 그랜드 호텔,5,너무 좋았어요 ㅎㅎ 조용하고 쉬기 너무 좋았네요~,2022. 03. 02,27
100,스위스 그랜드 호텔,5,엘레베이터가 정말 빠르게 와요분위기도 다른 호텔과 다르고 편하게 잘 쉬었어요,2022. 03. 02,42
101,스위스 그랜드 호텔,5,너무 좋습니다,2022. 03. 01,7
102,스위스 그랜드 호텔,5,침구류가 너무 좋습니다,2022. 02. 28,12
103,스위스 그랜드 호텔,5,너무조어오요,2022. 02. 27,6
104,스위스 그랜드 호텔,5,좋아용  다음에 또 갈게요,2022. 02. 21,14
105,스위스 그랜드 호텔,5,호캉스를 많이 다니는데 개인적으로 재방문 의사 100이었습니다 원래 리뷰도 안쓰는데 쓸 만큼 너무 좋았어요 객실 컨디션 너무 좋구 수영장도 사람 많이 없어 이용하는데 큰 불편함 못느꼈습니다 호텔 하나 정착하고싶었는데 앞으로 자주 이용할거같아요 너무 맘에 들어용,2022. 02. 06,145
106,스위스 그랜드 호텔,4,"수영장과 피트니스장은 좋았고 오래된 호텔이지만 시설관리가 잘 되어 있어서 가격대비 좋았다고 생각합니다! 근데 부가적인 서비스는 좀 부족하다고 생각합니다..ㅎㅎ 스위트에서 숙박을 했는데 칫솔 치약 구비도 되어있지 않고, 물이나 가운 같은 부가적인 서비스들이 너무 부족했네요..",2022. 02. 04,153
107,스위스 그랜드 호텔,5,수영장남자직원분이 아이혼자 락커사용을 어려워하자 도움주셨어서 너무감사했습니다,2022. 02. 02,42
108,스위스 그랜드 호텔,5,가족모임으로 레저던스 쓰리베드 이용했습니다객실도 청결했고 특히 직원분서비스가 굉장히좋았습니다덕분에 즐거운 명절보냈습니다,2022. 02. 01,66
109,스위스 그랜드 호텔,5,👍👍👍,2022. 01. 31,3
110,스위스 그랜드 호텔,5,좋았어요~~,2022. 01. 28,6
111,스위스 그랜드 호텔,5,연말 맞이로 놀러가기 너무 좋았어요~~ 여름에 또 가서 못갔던 수영장 가고싶어요,2022. 01. 09,44
112,스위스 그랜드 호텔,5,서울 시내에 있어 좋았어요 먹는거며 교툥이며... 교통은 막히는 시간 피하는게 좋겠더라구요,2022. 01. 09,50
113,스위스 그랜드 호텔,5,다 좋은데 서비스가 좀..,2022. 01. 03,14
114,스위스 그랜드 호텔,5,해가 뜨는 곳인지는 모르겠지만.. 숙소는 넘 좋네요,2022. 01. 02,28
115,스위스 그랜드 호텔,5,잘쉬다갑니다,2022. 01. 02,6
116,스위스 그랜드 호텔,5,1. 전체적인 호텔 구조가 옛날 일본 호텔 느낌이 물씬 나는데 오히려 색다르고 마치 여행온 것 같아 좋았다. 항공사 직원 등 외국인 손님이 많아서 사람들 구성도 다양하고 호텔을 구경하는 재미 자체가 있다2. 방이 넓다 but 화장실이 평범하고 의자가 부족해서 둘이서 책상을 식탁삼아 뭘 먹기가 어려움 소파는 높이가 좀 낮음3. 처음에 20도로 객실 내부 온도가 맞춰져있는데 정말 딱 좋았다4. 침구 정말 좋음 자고 일어났는데 어깨결림도 없고 등허리도 아주 좋았음 물침대 아니고 적당한 탄성 적당한 딱딱함 두개를 붙인 더블배드인데 매우 넓고 쾌적했다5. 그러나 히터를 틀면 너무나도 건조해서 코피터짐. 그래서 아침에 일어나면 조금 눈과 목이 아팠다. 먼지가 객실에 있는건 아님 오로지 히터의 문제같음 6. 직원들 무척 친절했다 아무리생각해도 일본 호텔 접객 느낌7. 냉장고가 넓어서 좋았다 찾기는 힘들었지만..8. 주변에 딱히 먹을 식당 없으니 시켜먹어야한다. 9. 차가 있어야 훨씬 편한 위치더보기,2021. 12. 26,502
117,스위스 그랜드 호텔,5,"레지던스 체크인 직원분들 매우 친절하셨음. 그런데 24일 이브날에 지하1층 알파인 카페 운영하시던 직원분들은 정신이 하나도 없어서 서비스의 질이 많이 떨어졌다,,, 하지만 그것말고는 전반적으로 다 좋았다!! 방은 깔끔했고(같이 간 가족 왈 창틀에도 먼지가 없다고 ㅋㅋ) 노후한 시설은 알고갔기에 하나도 거슬리지 않았다!! 오히려 빈티지함이 느껴지는 우리방이 넘 좋았다.아 근데 몇몇 전등이 안켜지기도 했다.노후함 상관없이 여러명이 쓸수있는 넓고 분위기좋은 방이 필요하다면 적극 추천!더보기",2021. 12. 25,273
118,스위스 그랜드 호텔,1,조식이 진짜 너무 맛이 없어서 깜짝 놀랐습니다.,2021. 12. 22,26
119,스위스 그랜드 호텔,4,넓고 교통편이 좋았습니다!,2021. 12. 20,14
120,스위스 그랜드 호텔,5,"처음으로 친구들과  호캉스 파티... 건물이 오래 되긴 했으나  침실 내부가 넓고 침구가 편안한 가성비 최고인 레지던스 호텔.  가까운 곳에 다양한 먹거리와 교통접근성이 좋았다. 가벼운 파티로 머물다간 곳이지만 좋은 추억이 될것 같다.와이파이가 안되는 점과 수세미와 세제, 칫솔 치약이  비치되지 않는점이  약간 불편했다.",2021. 12. 15,180
121,스위스 그랜드 호텔,3,화장실불이 갑자기안들어왔서요쇼파가 너무 딱딱해요나머지는 모 좋아요,2021. 12. 14,36
122,스위스 그랜드 호텔,5,"크리스마스 느낌 잘 나고, 깔끔하고 좋아요",2021. 12. 14,23
123,스위스 그랜드 호텔,5,넓어서 좋고 친절하셔서 좋아요,2021. 12. 13,16
124,스위스 그랜드 호텔,5,시설은 확실히 연식이있어서 아주 깔끔한건 아닙니다내부는 잘관리가 되어있는 상태입니다직원 분들도 친절했습니다,2021. 12. 09,59
125,스위스 그랜드 호텔,3,그냥 저냥 뭐 호캉스입니다,2021. 12. 03,14
126,스위스 그랜드 호텔,5,깔끔하고 좋았습니다,2021. 11. 29,10
127,스위스 그랜드 호텔,2,"시설 노후, 직원 불친절",2021. 11. 29,13
128,스위스 그랜드 호텔,5,라운지 안됨...,2021. 11. 28,9
129,스위스 그랜드 호텔,5,호텔이 낡았지만 클래식한 맛을 느낄 수 있어서 재밌었어요,2021. 11. 27,31
130,스위스 그랜드 호텔,5,친절하고 깨끗하고 편안한 하루였어요~,2021. 11. 25,20
131,스위스 그랜드 호텔,5,좋아요 사람도 붐비지 않고!,2021. 11. 24,15
132,스위스 그랜드 호텔,4,"레지던스동에서 투숙했는데 본관 호텔에 투숙할 땐 전혀 느끼지 못했던 층간소음이 심각했다. 윗집에 아이들이 있는건지 계속 가구 끄는 소리, 우다다다 뛰어다니는 소리가 새벽 두시까지 심하게 들렸다. 일행들과 새벽 늦게까지 술자리를 해서 다행히 수면엔 지장이 없었으나 층간소음 예민한 분이라면 레지던스동은 피하시길.",2021. 11. 22,173
133,스위스 그랜드 호텔,5,밑에 편의점이 있다는 거에 정말 편리하고 좋았습니다,2021. 11. 21,28
134,스위스 그랜드 호텔,4,넓고 친구들과 함께하기 좋았습니다,2021. 11. 21,18
135,스위스 그랜드 호텔,5,아주 좋았습니다 하지만 하수구가 오래된듯해요 외출하고 돌아오면 하수구 냄새가 올라왔습니다,2021. 11. 20,49
136,스위스 그랜드 호텔,5,레지던스 객실 6명이었는데 정말 다들 너무 만족하고 칭찬했어요!!  정말 최고입니다.수영장은 어차피 사용안해서 공사중이어도 상관없었고 다음에도 이곳으로 올려고요. 같은 가격이었으면 좋겠네요ㅎㅎ😊다만 저는 베개가 좀 높아서 목이 아팠는데 친구들은 낮았다고 해서ㅋㅋㅋ 사람마다 달랐던것 같아요.와이파이 유료는 조금.. 별로였어요. 당연있을지 알았는데그래도 같은가격이면 다시올거에요. 간식거리도 좋았어요!!! 다른 부분은 다 청결하고 방음도 좋았어요더보기,2021. 11. 15,251
137,스위스 그랜드 호텔,5,지하철이 가까웠으면 다 좋았을 것 같아요 !,2021. 11. 15,24
138,스위스 그랜드 호텔,5,2년만에 모임을 갖게 되었어요.6명 늦은시간까지의 수다에도 공간분리가 잘 되어 잘사람은 숙면을 할수있는 컨디션이 였습니다. 간단 취사 가능 하나 전자레인지는 없고 간단 취사를 하기위한 부가적인것은 준비해가세요~^^.음식배달 만으로 훌륭하지만 접시 사용후 매너로 설겆이를 깨끗하게 닦아놓고 싶어도 할수가 없었어요.,2021. 11. 15,174
139,스위스 그랜드 호텔,5,이 호텔만의 분위기때문에 재방문 할 것 같습니다. 침구가 너무 좋을 뿐만 아니라 주변 가을 풍경이 너무 예뻐요,2021. 11. 15,61
140,스위스 그랜드 호텔,5,좋습니다!,2021. 11. 14,5
141,스위스 그랜드 호텔,5,호텔안에서도 구경할게 많아서 좋았어용,2021. 11. 02,20
142,스위스 그랜드 호텔,5,완전 조아요 ㅠㅠ 유럽 너낌 낭낭 외항사 크루분들이 이용하는 곳이라 그런지 몬가 더 외국 같구 !!! 근데 셩장 정기 휴무라 못 들렀어요 ㅠ 꼭 다들 확인하고 가세용 흑흑,2021. 10. 29,95
143,스위스 그랜드 호텔,5,좋았어요 수영장도 넓고 깔끔 객실도 좋음,2021. 10. 29,22
144,스위스 그랜드 호텔,5,특유의 분위기도 좋고 편하게 잘 이용했습니다,2021. 10. 22,24
145,스위스 그랜드 호텔,5,수영장이좋네요,2021. 10. 16,7
146,스위스 그랜드 호텔,5,친절하고 좋네요,2021. 10. 13,8
147,스위스 그랜드 호텔,5,위치도 좋고 룸상태도 좋고 조용하고 좋았어요주변 음식점도 있고요 근처 은평한옥마을도 있고 좋아요 가격대비도 좋고요,2021. 10. 12,63
148,스위스 그랜드 호텔,5,객실도 깔끔하고 다들친절하셔서 너무좋았습니다,2021. 10. 12,24
149,스위스 그랜드 호텔,4,5성급이라고 하기에는 아쉬움,2021. 10. 12,15
150,스위스 그랜드 호텔,5,좋았습니당,2021. 10. 11,5
151,스위스 그랜드 호텔,4,직원분들 친절하셔요 분위기도 좋아여 엘베 빠른게 제일좋음,2021. 10. 11,31
152,스위스 그랜드 호텔,1,레지던스동은 전혀 관리를 안하는듯 할아버지 시골집 같습니다.. 냄새도  쾌쾌하고 ..넓은 것 빼곤 절대 5성급이라 할수가 없네요.객실사진이 없는 이유가 있었습니다.. 속았어요,2021. 10. 10,97
153,스위스 그랜드 호텔,5,너무 좋아요:),2021. 10. 08,8
154,스위스 그랜드 호텔,5,"처음 숙소 예약할 때 착오가 있어서 너무 당황했는데 , 호텔측에서 먼저 연락해주시고 해결하려고 노력해주셔서 감동받았어요!! 그렇게 잘 해결돼서 주말에 편하게 잘 쉬었어요 일단 건물은 오래됐을진 몰라도 로비 분위기라던가 객실 분위기 등 너무너무 좋았어요 조용하고 클래식한 분위기가 짱 ㅜㅜ 체크아웃 할 시간에는 로비 카페에 피아노 연주도 해주시더라구요 너무 좋았습니다!! 예쁜사진 많이 찍고갑니당더보기",2021. 10. 01,223
155,스위스 그랜드 호텔,5,굿굿굿굿굿,2021. 09. 24,5
156,스위스 그랜드 호텔,5,깨끗하고 좋아요,2021. 09. 23,8
157,스위스 그랜드 호텔,5,"추석연휴 호캉스 제대로 보냈네요수영장 이용부터 푹신한 침대, 창문으로보이는산뷰까지 너무 마음에 들었어요특히 침대가 너무 푹신해서또 방문하고싶어지네요 ㅋㅋ주차공간도 넉넉해서 좋았어요~더보기",2021. 09. 22,104
